Photosensor Pos,Lamp Pos,Lux 6000,Uncertainty 6000,Lux 600,Uncertainty 600,,
25,43,7238,44.5,,,2,0.25
25,44,5266,30.57,,,3,0.1111111111
25,45,3360,14.37,,,4,0.0625
25,46,2844,19.64,,,5,0.04
25,47,2240,8.89,,,6,0.02777777778
25,48,1609,7.57,,,7,0.02040816327
25,49,1407,18.4,,,8,0.015625
25,50,1090,5,,,9,0.01234567901
25,51,926.3,7.85,,,10,0.01
25,52,770.1,6.6,,,11,0.00826446281
25,54,675.1,2.72,580,10.79,13,0.005917159763
25,56,492,2.28,467.2,9.85,15,0.004444444444
25,58,418.4,3.9,356,2.8,17,0.003460207612
25,60,325,5.45,295.7,5.67,19,0.002770083102
25,64,220.9,2.4,216.9,6.5,23,0.001890359168
25,68,187.4,1.6,154.4,2.25,27,0.001371742112
25,72,148.3,0.74,133,0.45,31,0.001040582726
25,75,113.9,0.28,104.5,3.917,34,0.0008650519031
25,80,103.1,1.37,81.61,1.38,39,0.0006574621959
25,90,70.78,1.76,52.37,0.8,49,0.0004164931279
