Photocurrent vs Intensity,,,,
Experiment #,LED Drive,Tube Current (mA),LED Intensity Conv. (Lux),Tube Voltage (mV)
1,L000,0,2,1
2,L013,0,2,1
3,L014,0,4,0
4,L015,3,26,0
5,L016,14,153,0
6,L017,72,655,0
7,L018,203,1940,0
8,L019,393,4200,-2
9,L020,599,7190,-3
11,L022,801,10900,-5
12,L024,1154,18067,-7
13,L026,1427,25800,-11
14,L030,1853,41100,-14
15,L035,2170,55900,-17
16,L040,2499,73800,-19
17,L045,2705,87000,-21
18,L050,2927,102700,-22
19,L055,3078,114600,-24
20,L060,3255,129000,-25
21,L065,3411,139600,-28
22,L070,3515,152150,-28
23,L075,3639,164300,-29
24,L080,3734+,169000+,
,,,,-29
