Object position,Lens position,Image position,F vertical length,Description,,,,Calibrated distance
28.5,54,92,3.2,inverted clear F,0.03846153846,0.02631578947,0.06477732794,28
28.5,66,92,1.5,inverted clear F,0.02631578947,0.03846153846,0.06477732794,28
30,64,92,1.8,inverted clear F,0.02898550725,0.03571428571,0.06469979296,29.5
33,65.2,94.6,2,inverted clear F,0.03058103976,0.03401360544,0.0645946452,32.5
18,40,88,4.8,inverted clear F,0.04444444444,0.02083333333,0.06527777778,17.5
18,66.1,88,1.1,inverted clear F,0.02057613169,0.04566210046,0.06623823214,17.5
25,63.6,89,1.9,,0.02557544757,0.03937007874,0.06494552631,24.5
25,49.8,89,3.5,,0.0395256917,0.02551020408,0.06503589578,24.5
20,42.5,89,4.5,,0.04347826087,0.02150537634,0.06498363721,19.5
20,66,89,1.1,,0.02150537634,0.04347826087,0.06498363721,19.5
,,,,,,,0.0004665388055,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.06503138005,,,,,,
