Angle of Glass Brick,Refracted Distance,,
80,1.5,1.396263402,1.358775867
70,1.25,1.221730476,1.512279126
60,1,1.047197551,1.568001158
50,0.8,0.872664626,1.645042537
40,0.55,0.6981317008,1.551638881
30,0.45,0.5235987756,1.74281697
75,1.4,1.308996939,1.502357654
65,1.15,1.134464014,1.596832023
55,0.85,0.9599310886,1.526958029
45,0.65,0.7853981634,1.560205074
35,0.5,0.6108652382,1.638155595
80,1.6,1.396263402,1.649841992
45,0.6,0.7853981634,1.475030827
70,1.3,1.221730476,1.615809343
50,0.8,0.872664626,1.645042537
60,0.95,1.047197551,1.487594205
66,1.1,1.151917306,1.462603234
23,0.3,0.401425728,1.609859708
32,0.45,0.5585053606,1.64140895
63,1.1,1.099557429,1.605877566
